year,tmp,month,tmpLoess,deconID
1881,-5.4,0,-2.0858236000742068,73
1882,0.4,0,-2.0276611539697313,74
1883,-0.3,0,-1.9693152900820508,75
1884,2.9,0,-1.9107713064826868,76
1885,-2.8,0,-1.8520518071740781,77
1886,-1.3,0,-1.7932221681539744,78
1887,-3.7,0,-1.7343514628076804,79
1888,-1.9,0,-1.6755102750798159,80
1889,-2.4,0,-1.6167528180932607,81
1890,2,0,-1.5581260247512176,82
1891,-4.5,0,-1.499677197056414,83
1892,-1.8,0,-1.4414773932574576,84
1893,-7.3,0,-1.3835812187693222,85
1894,-1.8,0,-1.3260270819235416,86
1895,-4,0,-1.2688199205812367,87
1896,-0.8,0,-1.2119408835805956,88
1897,-2.9,0,-1.155336474417524,89
1898,2.3,0,-1.098931215181267,90
1899,2.1,0,-1.0426189555169572,91
1900,0.7,0,-0.9863005625407055,92
1901,-3.7,0,-0.9298960196894086,93
1902,2.8,0,-0.8733239098879579,94
1903,0.3,0,-0.8164570704120138,95
1904,-1.3,0,-0.7591612114014765,96
1905,-1.8,0,-0.7012738096809841,97
1906,1,0,-0.6425382144051781,98
1907,-0.3,0,-0.5825288112213514,99
1908,-2.2,0,-0.5205948309440629,100
1909,-1.6,0,-0.4557539854870498,101
1910,1.4,0,-0.3867270530256235,102
1911,-1.1,0,-0.32852080367295855,103
1912,-1.5,0,-0.2724820504524388,104
1913,-0.2,0,-0.21954465691162284,105
1914,-3,0,-0.17093967605821092,106
1915,0.2,0,-0.12760598163349357,107
1916,3.8,0,-0.0900552685367586,108
1917,-2.6,0,-0.05825214727806838,109
1918,0.7,0,-0.032570751946984444,110
1919,0.7,0,-0.01349783559013673,111
1920,2.3,0,-0.0014381425272915749,112
1921,4.2,0,0.004392091304218582,113
1922,-2.7,0,0.0051913847383247,114
1923,1.5,0,0.0021836039487439507,115
1924,-2.9,0,-0.0032653022995159375,116
1925,2.5,0,-0.009887316582517736,117
1926,0,0,-0.016954016158372553,118
1927,1.8,0,-0.024518456718524817,119
1928,1.6,0,-0.03320248905028578,120
1929,-4.7,0,-0.04340832867030997,121
1930,2.3,0,-0.055121698630088645,122
1931,0.2,0,-0.06813386732996918,123
1932,1.8,0,-0.08259426335556697,124
1933,-2.6,0,-0.09852343235097294,125
1934,0.5,0,-0.11581646349998209,126
1935,-0.8,0,-0.13430800297514622,127
1936,3.1,0,-0.15448357618679154,128
1937,-0.8,0,-0.17674172070306327,129
1938,1.7,0,-0.20102904308414793,130
1939,2.6,0,-0.22741840875082175,131
1940,-9,0,-0.25587552428036986,132
1941,-5.4,0,-0.286033186004488,133
1942,-7.9,0,-0.3172647864851399,134
1943,-0.4,0,-0.34907841383869,135
1944,3.1,0,-0.38100333769881445,136
1945,-4,0,-0.41304773078402945,137
1946,-1.8,0,-0.4451254163333118,138
1947,-4.7,0,-0.4762580976179862,139
1948,3.1,0,-0.5053977143524548,140
1949,1.2,0,-0.5316407001667258,141
